CustomerID,Country,CountryIndex,RecencyDays,Frequency,Monetary,LastPurchaseTS,PurchaseHour,PurchaseMonth,DayOfWeek,is_weekend
16941,United Kingdom,0.0,611,1,33.0,2010-04-07T11:13:00.000+03:00,11,4,4,0
12412,Denmark,14.0,74,6,2312.83,2011-09-26T10:16:00.000+03:00,10,9,2,0
12662,Germany,1.0,0,20,6713.94,2011-12-09T11:59:00.000+03:00,11,12,6,1
16701,United Kingdom,0.0,8,25,4456.75,2011-12-01T11:10:00.000+03:00,11,12,5,0
13707,United Kingdom,0.0,267,5,2645.14,2011-03-17T18:03:00.000+03:00,18,3,5,0
16904,United Kingdom,0.0,4,21,4411.92,2011-12-05T13:10:00.000+03:00,13,12,2,0
16415,United Kingdom,0.0,44,3,681.76,2011-10-26T13:35:00.000+03:00,13,10,4,0
16987,United Kingdom,0.0,3,11,2521.4,2011-12-06T17:26:00.000+03:00,17,12,3,0
14425,United Kingdom,0.0,434,3,633.55,2010-10-01T10:24:00.000+03:00,10,10,6,1
14409,United Kingdom,0.0,71,7,2103.37,2011-09-29T18:18:00.000+03:00,18,9,5,0
15584,United Kingdom,0.0,23,6,1223.2,2011-11-16T10:55:00.000+03:00,10,11,4,0
12652,France,2.0,331,1,919.98,2011-01-12T15:00:00.000+03:00,15,1,4,0
12642,Germany,1.0,25,3,905.62,2011-11-14T15:03:00.000+03:00,15,11,2,0
14039,United Kingdom,0.0,33,2,121.36,2011-11-06T13:48:00.000+03:00,13,11,1,0
14215,United Kingdom,0.0,11,9,3131.97,2011-11-28T12:19:00.000+03:00,12,11,2,0
15936,United Kingdom,0.0,379,2,282.79,2010-11-25T16:39:00.000+03:00,16,11,5,0
12592,Germany,1.0,92,5,2128.46,2011-09-08T15:04:00.000+03:00,15,9,5,0
18095,United Kingdom,0.0,312,5,848.61,2011-01-31T12:50:00.000+03:00,12,1,2,0
13804,United Kingdom,0.0,30,9,3058.52,2011-11-09T12:32:00.000+03:00,12,11,4,0
16462,United Kingdom,0.0,73,3,136.0,2011-09-27T10:24:00.000+03:00,10,9,3,0
16574,United Kingdom,0.0,71,3,1275.38,2011-09-29T13:39:00.000+03:00,13,9,5,0
15241,United Kingdom,0.0,66,11,2607.48,2011-10-04T09:05:00.000+03:00,9,10,3,0
12464,Belgium,4.0,10,8,1212.05,2011-11-29T13:33:00.000+03:00,13,11,3,0
17625,United Kingdom,0.0,18,8,5680.69,2011-11-21T13:36:00.000+03:00,13,11,2,0
13985,United Kingdom,0.0,4,22,9645.06,2011-12-05T17:06:00.000+03:00,17,12,2,0
15050,United Kingdom,0.0,25,5,2195.2,2011-11-14T16:17:00.000+03:00,16,11,2,0
13118,United Kingdom,0.0,19,9,2402.81,2011-11-20T12:46:00.000+03:00,12,11,1,0
16013,United Kingdom,0.0,7,11,1668.75,2011-12-02T11:53:00.000+03:00,11,12,6,1
14359,United Kingdom,0.0,19,3,912.18,2011-11-20T13:17:00.000+03:00,13,11,1,0
15320,United Kingdom,0.0,44,1,197.53,2011-10-26T13:27:00.000+03:00,13,10,4,0
13433,United Kingdom,0.0,501,4,658.32,2010-07-26T16:55:00.000+03:00,16,7,2,0
12657,France,2.0,11,4,1297.1,2011-11-28T15:47:00.000+03:00,15,11,2,0
15124,United Kingdom,0.0,22,4,388.9,2011-11-17T10:09:00.000+03:00,10,11,5,0
15542,United Kingdom,0.0,512,3,855.71,2010-07-15T13:32:00.000+03:00,13,7,5,0
15571,United Kingdom,0.0,11,14,3573.63,2011-11-28T10:02:00.000+03:00,10,11,2,0
14194,United Kingdom,0.0,4,35,17546.57,2011-12-05T10:38:00.000+03:00,10,12,2,0
13439,United Kingdom,0.0,255,3,900.45,2011-03-29T14:20:00.000+03:00,14,3,3,0
12449,Belgium,4.0,22,4,4067.29,2011-11-17T13:46:00.000+03:00,13,11,5,0
14907,United Kingdom,0.0,3,16,5455.2,2011-12-06T14:14:00.000+03:00,14,12,3,0
15325,United Kingdom,0.0,103,8,1601.46,2011-08-28T11:55:00.000+03:00,11,8,1,0
14404,United Kingdom,0.0,33,13,2266.51,2011-11-06T12:30:00.000+03:00,12,11,1,0
12437,France,2.0,1,38,11553.8,2011-12-08T11:35:00.000+03:00,11,12,5,0
18075,United Kingdom,0.0,23,20,5636.89,2011-11-16T15:21:00.000+03:00,15,11,4,0
15136,United Kingdom,0.0,2,4,1234.5,2011-12-07T12:26:00.000+03:00,12,12,4,0
14971,United Kingdom,0.0,35,3,1011.6,2011-11-04T17:07:00.000+03:00,17,11,6,1
17981,United Kingdom,0.0,410,1,177.92,2010-10-25T10:40:00.000+03:00,10,10,2,0
12867,United Kingdom,0.0,26,13,7438.76,2011-11-13T15:30:00.000+03:00,15,11,1,0
15527,United Kingdom,0.0,18,23,5340.15,2011-11-21T12:17:00.000+03:00,12,11,2,0
15762,United Kingdom,0.0,65,2,583.75,2011-10-05T16:15:00.000+03:00,16,10,4,0
13846,United Kingdom,0.0,24,4,1307.79,2011-11-15T12:07:00.000+03:00,12,11,3,0
12584,Italy,9.0,3,9,2338.15,2011-12-06T09:35:00.000+03:00,9,12,3,0
14234,United Kingdom,0.0,22,4,706.92,2011-11-17T17:53:00.000+03:00,17,11,5,0
18208,United Kingdom,0.0,565,1,360.08,2010-05-23T11:54:00.000+03:00,11,5,1,0
14745,United Kingdom,0.0,112,12,2231.19,2011-08-19T10:05:00.000+03:00,10,8,6,1
14282,United Kingdom,0.0,3,24,3643.28,2011-12-06T17:04:00.000+03:00,17,12,3,0
13968,United Kingdom,0.0,423,1,78.3,2010-10-12T13:22:00.000+03:00,13,10,3,0
16919,United Kingdom,0.0,156,24,4909.66,2011-07-06T13:35:00.000+03:00,13,7,4,0
16558,United Kingdom,0.0,0,38,11954.71,2011-12-09T10:20:00.000+03:00,10,12,6,1
13211,United Kingdom,0.0,10,9,1293.01,2011-11-29T14:43:00.000+03:00,14,11,3,0
14927,United Kingdom,0.0,396,1,308.2,2010-11-08T12:30:00.000+03:00,12,11,2,0
18108,United Kingdom,0.0,254,3,848.81,2011-03-30T13:56:00.000+03:00,13,3,4,0
16700,United Kingdom,0.0,8,25,8431.29,2011-12-01T11:00:00.000+03:00,11,12,5,0
12947,United Kingdom,0.0,143,5,1534.99,2011-07-19T10:06:00.000+03:00,10,7,3,0
16228,United Kingdom,0.0,385,3,642.35,2010-11-19T14:20:00.000+03:00,14,11,6,1
16915,United Kingdom,0.0,9,11,1543.18,2011-11-30T16:39:00.000+03:00,16,11,4,0
17255,United Kingdom,0.0,40,4,763.76,2011-10-30T12:18:00.000+03:00,12,10,1,0
15671,United Kingdom,0.0,18,7,1272.21,2011-11-21T12:43:00.000+03:00,12,11,2,0
16816,United Kingdom,0.0,103,4,417.06,2011-08-28T14:16:00.000+03:00,14,8,1,0
14149,United Kingdom,0.0,220,1,446.62,2011-05-03T09:44:00.000+03:00,9,5,3,0
18256,United Kingdom,0.0,387,1,96.84,2010-11-17T08:53:00.000+03:00,8,11,4,0
12652,Germany,1.0,434,1,97.05,2010-10-01T15:16:00.000+03:00,15,10,6,1
17492,United Kingdom,0.0,248,3,1101.62,2011-04-05T15:21:00.000+03:00,15,4,3,0
14936,Channel Islands,15.0,33,12,11503.93,2011-11-06T10:30:00.000+03:00,10,11,1,0
13435,United Kingdom,0.0,5,9,2623.56,2011-12-04T14:45:00.000+03:00,14,12,1,0
15282,United Kingdom,0.0,570,1,329.09,2010-05-18T16:27:00.000+03:00,16,5,3,0
17220,United Kingdom,0.0,24,21,4414.89,2011-11-15T13:47:00.000+03:00,13,11,3,0
13884,United Kingdom,0.0,7,10,1755.73,2011-12-02T16:30:00.000+03:00,16,12,6,1
13771,United Kingdom,0.0,64,9,4965.82,2011-10-06T14:18:00.000+03:00,14,10,5,0
13936,United Kingdom,0.0,179,3,932.82,2011-06-13T08:47:00.000+03:00,8,6,2,0
12370,Austria,12.0,357,4,1051.82,2010-12-17T09:38:00.000+03:00,9,12,6,1
16471,United Kingdom,0.0,274,4,1026.78,2011-03-10T09:41:00.000+03:00,9,3,5,0
17597,United Kingdom,0.0,213,5,2720.87,2011-05-10T11:54:00.000+03:00,11,5,3,0
14470,United Kingdom,0.0,11,3,681.44,2011-11-28T10:31:00.000+03:00,10,11,2,0
17384,United Kingdom,0.0,19,3,293.35,2011-11-20T15:48:00.000+03:00,15,11,1,0
15303,United Kingdom,0.0,290,3,1224.18,2011-02-22T13:59:00.000+03:00,13,2,3,0
13032,United Kingdom,0.0,52,9,2593.36,2011-10-18T15:54:00.000+03:00,15,10,3,0
16524,United Kingdom,0.0,446,2,306.19,2010-09-19T13:37:00.000+03:00,13,9,1,0
13269,United Kingdom,0.0,1,27,7319.32,2011-12-08T14:53:00.000+03:00,14,12,5,0
18223,United Kingdom,0.0,4,26,12264.55,2011-12-05T09:11:00.000+03:00,9,12,2,0
13973,United Kingdom,0.0,287,1,264.7,2011-02-25T15:21:00.000+03:00,15,2,6,1
16453,United Kingdom,0.0,530,2,251.71,2010-06-27T12:46:00.000+03:00,12,6,1,0
15974,United Kingdom,0.0,39,7,3271.71,2011-10-31T13:13:00.000+03:00,13,10,2,0
17138,United Kingdom,0.0,275,7,4254.45,2011-03-09T11:54:00.000+03:00,11,3,4,0
15467,United Kingdom,0.0,9,3,524.88,2011-11-30T14:17:00.000+03:00,14,11,4,0
15251,United Kingdom,0.0,40,17,7125.76,2011-10-30T12:43:00.000+03:00,12,10,1,0
13107,United Kingdom,0.0,44,9,3505.51,2011-10-26T14:52:00.000+03:00,14,10,4,0
17091,United Kingdom,0.0,2,19,7275.43,2011-12-07T10:43:00.000+03:00,10,12,4,0
14623,United Kingdom,0.0,32,10,1896.98,2011-11-07T13:56:00.000+03:00,13,11,2,0
13304,United Kingdom,0.0,351,4,1193.27,2010-12-23T14:35:00.000+03:00,14,12,5,0
14998,United Kingdom,0.0,170,4,753.18,2011-06-22T17:30:00.000+03:00,17,6,4,0
12913,United Kingdom,0.0,4,11,2148.58,2011-12-05T12:11:00.000+03:00,12,12,2,0
15489,United Kingdom,0.0,22,8,2169.29,2011-11-17T08:53:00.000+03:00,8,11,5,0
12569,Germany,1.0,2,32,4052.09,2011-12-07T16:24:00.000+03:00,16,12,4,0
14129,United Kingdom,0.0,1,9,2434.02,2011-12-08T11:02:00.000+03:00,11,12,5,0
15452,United Kingdom,0.0,29,6,1772.51,2011-11-10T12:13:00.000+03:00,12,11,5,0
13481,United Kingdom,0.0,45,11,3783.74,2011-10-25T09:07:00.000+03:00,9,10,3,0
12888,United Kingdom,0.0,214,2,354.12,2011-05-09T16:02:00.000+03:00,16,5,2,0
16393,United Kingdom,0.0,2,23,5270.05,2011-12-07T12:51:00.000+03:00,12,12,4,0
12531,Germany,1.0,14,2,1933.2,2011-11-25T11:12:00.000+03:00,11,11,6,1
14058,United Kingdom,0.0,462,2,469.19,2010-09-03T09:31:00.000+03:00,9,9,6,1
14852,United Kingdom,0.0,58,18,5240.67,2011-10-12T13:20:00.000+03:00,13,10,4,0
13008,United Kingdom,0.0,323,3,561.13,2011-01-20T14:24:00.000+03:00,14,1,5,0
12977,United Kingdom,0.0,156,4,513.88,2011-07-06T16:40:00.000+03:00,16,7,4,0
12523,France,2.0,19,23,4254.95,2011-11-20T12:55:00.000+03:00,12,11,1,0
16609,United Kingdom,0.0,15,7,5403.7,2011-11-24T13:32:00.000+03:00,13,11,5,0
13338,United Kingdom,0.0,157,4,2379.62,2011-07-05T09:06:00.000+03:00,9,7,3,0
13161,United Kingdom,0.0,313,2,472.13,2011-01-30T14:03:00.000+03:00,14,1,1,0
18069,United Kingdom,0.0,26,10,4371.7,2011-11-13T16:03:00.000+03:00,16,11,1,0
14092,United Kingdom,0.0,7,24,7177.73,2011-12-02T12:13:00.000+03:00,12,12,6,1
13779,United Kingdom,0.0,515,1,161.13,2010-07-12T11:24:00.000+03:00,11,7,2,0
13081,United Kingdom,0.0,11,26,42544.74,2011-11-28T10:54:00.000+03:00,10,11,2,0
17229,United Kingdom,0.0,96,2,318.76,2011-09-04T13:56:00.000+03:00,13,9,1,0
14920,United Kingdom,0.0,212,3,1569.85,2011-05-11T10:32:00.000+03:00,10,5,4,0
15061,United Kingdom,0.0,3,63,12211.46,2011-12-06T12:06:00.000+03:00,12,12,3,0
14708,United Kingdom,0.0,2,4,1079.22,2011-12-07T08:21:00.000+03:00,8,12,4,0
17101,United Kingdom,0.0,29,6,1943.63,2011-11-10T10:32:00.000+03:00,10,11,5,0
14436,United Kingdom,0.0,98,2,119.06,2011-09-02T10:13:00.000+03:00,10,9,6,1
17160,United Kingdom,0.0,31,17,9881.16,2011-11-08T14:05:00.000+03:00,14,11,3,0
17785,United Kingdom,0.0,53,3,360.88,2011-10-17T13:43:00.000+03:00,13,10,2,0
16412,United Kingdom,0.0,53,5,586.89,2011-10-17T12:35:00.000+03:00,12,10,2,0
12363,Unspecified,20.0,109,2,532.2,2011-08-22T10:18:00.000+03:00,10,8,2,0
16797,United Kingdom,0.0,393,5,1795.72,2010-11-11T19:14:00.000+03:00,19,11,5,0
12721,France,2.0,31,8,3934.84,2011-11-08T12:13:00.000+03:00,12,11,3,0
16278,United Kingdom,0.0,100,3,1117.84,2011-08-31T17:12:00.000+03:00,17,8,4,0
12754,Japan,16.0,277,2,61.62,2011-03-07T13:38:00.000+03:00,13,3,2,0
15339,United Kingdom,0.0,66,6,1648.46,2011-10-04T12:51:00.000+03:00,12,10,3,0
16235,United Kingdom,0.0,40,9,2053.71,2011-10-30T10:56:00.000+03:00,10,10,1,0
14312,United Kingdom,0.0,46,11,2971.25,2011-10-24T09:46:00.000+03:00,9,10,2,0
17491,United Kingdom,0.0,1,17,3962.59,2011-12-08T16:18:00.000+03:00,16,12,5,0
15816,United Kingdom,0.0,542,2,144.15,2010-06-15T13:36:00.000+03:00,13,6,3,0
13562,United Kingdom,0.0,81,8,4819.46,2011-09-19T10:51:00.000+03:00,10,9,2,0
14572,United Kingdom,0.0,3,11,5137.32,2011-12-06T14:40:00.000+03:00,14,12,3,0
14009,United Kingdom,0.0,198,3,994.91,2011-05-25T15:47:00.000+03:00,15,5,4,0
13108,United Kingdom,0.0,372,2,551.3,2010-12-02T10:35:00.000+03:00,10,12,5,0
14607,United Kingdom,0.0,18,9,3888.21,2011-11-21T12:38:00.000+03:00,12,11,2,0
13268,United Kingdom,0.0,17,10,2878.21,2011-11-22T11:34:00.000+03:00,11,11,3,0
13976,United Kingdom,0.0,206,4,1173.64,2011-05-17T09:13:00.000+03:00,9,5,3,0
14858,United Kingdom,0.0,505,1,180.75,2010-07-22T10:51:00.000+03:00,10,7,5,0
14824,United Kingdom,0.0,10,10,3372.91,2011-11-29T14:20:00.000+03:00,14,11,3,0
15245,United Kingdom,0.0,134,8,2720.84,2011-07-28T18:56:00.000+03:00,18,7,5,0
17690,United Kingdom,0.0,30,20,6865.88,2011-11-09T15:17:00.000+03:00,15,11,4,0
15140,United Kingdom,0.0,52,8,2538.85,2011-10-18T14:07:00.000+03:00,14,10,3,0
16825,United Kingdom,0.0,38,5,1389.13,2011-11-01T11:51:00.000+03:00,11,11,3,0
14533,United Kingdom,0.0,24,9,1452.65,2011-11-15T12:05:00.000+03:00,12,11,3,0
16433,United Kingdom,0.0,28,2,384.52,2011-11-11T14:09:00.000+03:00,14,11,6,1
17655,United Kingdom,0.0,10,9,2533.98,2011-11-29T11:34:00.000+03:00,11,11,3,0
13305,United Kingdom,0.0,4,16,3168.09,2011-12-05T15:15:00.000+03:00,15,12,2,0
15235,United Kingdom,0.0,217,16,2772.76,2011-05-06T09:44:00.000+03:00,9,5,6,1
16365,United Kingdom,0.0,17,14,2047.66,2011-11-22T11:24:00.000+03:00,11,11,3,0
14720,United Kingdom,0.0,5,3,663.81,2011-12-04T12:02:00.000+03:00,12,12,1,0
12753,Japan,16.0,22,6,2580.07,2011-11-17T10:52:00.000+03:00,10,11,5,0
15670,United Kingdom,0.0,296,2,325.2,2011-02-16T10:50:00.000+03:00,10,2,4,0
15988,United Kingdom,0.0,19,3,734.89,2011-11-20T13:23:00.000+03:00,13,11,1,0
16725,United Kingdom,0.0,302,14,1674.82,2011-02-10T16:52:00.000+03:00,16,2,5,0
15414,United Kingdom,0.0,9,3,731.7,2011-11-30T09:50:00.000+03:00,9,11,4,0
16843,United Kingdom,0.0,42,33,11901.08,2011-10-28T09:06:00.000+03:00,9,10,6,1
14530,United Kingdom,0.0,25,16,5365.18,2011-11-14T10:38:00.000+03:00,10,11,2,0
14750,United Kingdom,0.0,736,1,112.03,2009-12-03T17:57:00.000+03:00,17,12,5,0
15544,United Kingdom,0.0,9,20,7492.89,2011-11-30T16:43:00.000+03:00,16,11,4,0
12949,United Kingdom,0.0,30,22,14877.56,2011-11-09T11:25:00.000+03:00,11,11,4,0
17004,United Kingdom,0.0,46,4,1331.24,2011-10-24T14:25:00.000+03:00,14,10,2,0
17457,United Kingdom,0.0,126,12,1668.96,2011-08-05T12:48:00.000+03:00,12,8,6,1
13080,United Kingdom,0.0,179,4,280.73,2011-06-13T14:59:00.000+03:00,14,6,2,0
17040,United Kingdom,0.0,137,2,463.25,2011-07-25T10:19:00.000+03:00,10,7,2,0
15137,United Kingdom,0.0,520,2,683.24,2010-07-07T09:41:00.000+03:00,9,7,4,0
15358,United Kingdom,0.0,4,42,15559.82,2011-12-05T09:04:00.000+03:00,9,12,2,0
12408,Belgium,4.0,32,8,3508.15,2011-11-07T12:27:00.000+03:00,12,11,2,0
16375,United Kingdom,0.0,470,2,104.0,2010-08-26T14:25:00.000+03:00,14,8,5,0
12790,Netherlands,6.0,192,2,591.85,2011-05-31T14:14:00.000+03:00,14,5,3,0
15606,United Kingdom,0.0,61,17,4987.63,2011-10-09T15:47:00.000+03:00,15,10,1,0
17329,United Kingdom,0.0,14,5,988.45,2011-11-25T14:24:00.000+03:00,14,11,6,1
12906,United Kingdom,0.0,11,5,1190.17,2011-11-28T09:55:00.000+03:00,9,11,2,0
16411,United Kingdom,0.0,19,4,756.39,2011-11-20T13:23:00.000+03:00,13,11,1,0
16048,United Kingdom,0.0,373,4,818.79,2010-12-01T15:28:00.000+03:00,15,12,4,0
15763,United Kingdom,0.0,31,2,1086.92,2011-11-08T09:44:00.000+03:00,9,11,3,0
12493,France,2.0,165,2,403.86,2011-06-27T10:17:00.000+03:00,10,6,2,0
12948,United Kingdom,0.0,16,9,2149.31,2011-11-23T17:10:00.000+03:00,17,11,4,0
15712,United Kingdom,0.0,9,12,3370.65,2011-11-30T14:09:00.000+03:00,14,11,4,0
13854,United Kingdom,0.0,8,38,8667.72,2011-12-01T09:06:00.000+03:00,9,12,5,0
14803,United Kingdom,0.0,162,3,478.35,2011-06-30T13:58:00.000+03:00,13,6,5,0
17783,United Kingdom,0.0,72,3,366.46,2011-09-28T16:07:00.000+03:00,16,9,4,0
18178,United Kingdom,0.0,128,11,5882.12,2011-08-03T09:30:00.000+03:00,9,8,4,0
17898,United Kingdom,0.0,85,4,285.26,2011-09-15T14:56:00.000+03:00,14,9,5,0
13418,United Kingdom,0.0,11,31,9978.76,2011-11-28T10:23:00.000+03:00,10,11,2,0
14105,United Kingdom,0.0,239,5,5537.75,2011-04-14T17:58:00.000+03:00,17,4,5,0
15462,United Kingdom,0.0,94,4,647.05,2011-09-06T13:11:00.000+03:00,13,9,3,0
16325,United Kingdom,0.0,46,12,2824.1,2011-10-24T08:48:00.000+03:00,8,10,2,0
13752,United Kingdom,0.0,124,7,1260.99,2011-08-07T14:16:00.000+03:00,14,8,1,0
17858,United Kingdom,0.0,5,27,9320.05,2011-12-04T11:56:00.000+03:00,11,12,1,0
13426,United Kingdom,0.0,0,22,6778.22,2011-12-09T08:59:00.000+03:00,8,12,6,1
15644,United Kingdom,0.0,166,4,803.54,2011-06-26T14:54:00.000+03:00,14,6,1,0
13243,United Kingdom,0.0,203,5,1220.38,2011-05-20T13:14:00.000+03:00,13,5,6,1
13500,United Kingdom,0.0,23,4,1421.78,2011-11-16T15:35:00.000+03:00,15,11,4,0
13726,United Kingdom,0.0,38,2,429.12,2011-11-01T10:49:00.000+03:00,10,11,3,0
16691,United Kingdom,0.0,418,2,178.83,2010-10-17T15:03:00.000+03:00,15,10,1,0
13756,United Kingdom,0.0,2,22,5743.63,2011-12-07T16:44:00.000+03:00,16,12,4,0
13959,United Kingdom,0.0,79,6,1020.49,2011-09-21T15:06:00.000+03:00,15,9,4,0
13516,United Kingdom,0.0,21,4,931.26,2011-11-18T13:15:00.000+03:00,13,11,6,1
16584,United Kingdom,0.0,80,5,1616.21,2011-09-20T13:45:00.000+03:00,13,9,3,0
14713,United Kingdom,0.0,9,21,4774.76,2011-11-30T16:26:00.000+03:00,16,11,4,0
16551,United Kingdom,0.0,95,7,1532.4,2011-09-05T09:38:00.000+03:00,9,9,2,0
17623,United Kingdom,0.0,32,7,2365.77,2011-11-07T11:32:00.000+03:00,11,11,2,0
13250,United Kingdom,0.0,460,2,253.09,2010-09-05T11:33:00.000+03:00,11,9,1,0
15073,United Kingdom,0.0,9,8,2761.62,2011-11-30T10:44:00.000+03:00,10,11,4,0
15095,United Kingdom,0.0,103,10,2067.74,2011-08-28T12:01:00.000+03:00,12,8,1,0
17109,United Kingdom,0.0,29,8,1277.67,2011-11-10T16:59:00.000+03:00,16,11,5,0
14239,United Kingdom,0.0,43,21,4174.67,2011-10-27T14:40:00.000+03:00,14,10,5,0
14564,Channel Islands,15.0,434,2,2455.62,2010-10-01T09:02:00.000+03:00,9,10,6,1
15615,United Kingdom,0.0,10,46,18624.23,2011-11-29T14:42:00.000+03:00,14,11,3,0
17173,United Kingdom,0.0,5,8,3674.8,2011-12-04T14:40:00.000+03:00,14,12,1,0
14585,United Kingdom,0.0,50,5,708.87,2011-10-20T14:33:00.000+03:00,14,10,5,0
12455,Spain,3.0,73,4,767.96,2011-09-27T15:31:00.000+03:00,15,9,3,0
18207,United Kingdom,0.0,499,1,544.47,2010-07-28T14:26:00.000+03:00,14,7,4,0
13162,United Kingdom,0.0,122,15,6292.03,2011-08-09T15:59:00.000+03:00,15,8,3,0
15379,United Kingdom,0.0,169,8,4648.76,2011-06-23T13:13:00.000+03:00,13,6,5,0
13059,United Kingdom,0.0,249,10,2249.77,2011-04-04T10:40:00.000+03:00,10,4,2,0
15632,United Kingdom,0.0,15,8,3082.15,2011-11-24T09:51:00.000+03:00,9,11,5,0
17421,United Kingdom,0.0,386,3,1039.25,2010-11-18T16:57:00.000+03:00,16,11,5,0
13776,United Kingdom,0.0,428,2,623.98,2010-10-07T16:11:00.000+03:00,16,10,5,0
18181,United Kingdom,0.0,24,5,1167.54,2011-11-15T15:08:00.000+03:00,15,11,3,0
15801,United Kingdom,0.0,46,3,1063.95,2011-10-24T13:52:00.000+03:00,13,10,2,0
14667,United Kingdom,0.0,10,54,17166.06,2011-11-29T11:30:00.000+03:00,11,11,3,0
18116,United Kingdom,0.0,67,13,2047.91,2011-10-03T11:00:00.000+03:00,11,10,2,0
14672,United Kingdom,0.0,234,4,985.06,2011-04-19T10:19:00.000+03:00,10,4,3,0
13709,United Kingdom,0.0,3,18,6913.03,2011-12-06T10:28:00.000+03:00,10,12,3,0
14905,United Kingdom,0.0,157,8,1305.79,2011-07-05T12:41:00.000+03:00,12,7,3,0
17262,United Kingdom,0.0,52,6,708.76,2011-10-18T12:56:00.000+03:00,12,10,3,0
14335,Germany,1.0,16,2,434.7,2011-11-23T13:41:00.000+03:00,13,11,4,0
17346,United Kingdom,0.0,3,26,4818.81,2011-12-06T12:18:00.000+03:00,12,12,3,0
14680,United Kingdom,0.0,25,53,22046.34,2011-11-14T16:59:00.000+03:00,16,11,2,0
14071,United Kingdom,0.0,3,8,1419.03,2011-12-06T12:27:00.000+03:00,12,12,3,0
14723,United Kingdom,0.0,10,11,1781.64,2011-11-29T15:23:00.000+03:00,15,11,3,0
15149,United Kingdom,0.0,133,5,1509.61,2011-07-29T10:58:00.000+03:00,10,7,6,1
17275,United Kingdom,0.0,383,1,114.1,2010-11-21T13:26:00.000+03:00,13,11,1,0
13198,United Kingdom,0.0,10,8,4915.79,2011-11-29T15:17:00.000+03:00,15,11,3,0
15614,United Kingdom,0.0,437,4,1758.18,2010-09-28T10:46:00.000+03:00,10,9,3,0
14339,United Kingdom,0.0,242,2,470.47,2011-04-11T11:06:00.000+03:00,11,4,2,0
14891,United Kingdom,0.0,148,4,1020.45,2011-07-14T18:08:00.000+03:00,18,7,5,0
13139,United Kingdom,0.0,16,8,5674.0,2011-11-23T13:54:00.000+03:00,13,11,4,0
15662,United Kingdom,0.0,661,2,283.73,2010-02-16T16:47:00.000+03:00,16,2,3,0
13259,United Kingdom,0.0,61,9,1402.54,2011-10-09T10:48:00.000+03:00,10,10,1,0
16882,United Kingdom,0.0,66,3,705.12,2011-10-04T10:42:00.000+03:00,10,10,3,0
16293,United Kingdom,0.0,21,15,4238.4,2011-11-18T09:58:00.000+03:00,9,11,6,1
17673,United Kingdom,0.0,1,13,3471.04,2011-12-08T12:50:00.000+03:00,12,12,5,0
17860,United Kingdom,0.0,368,4,663.95,2010-12-06T12:41:00.000+03:00,12,12,2,0
17612,United Kingdom,0.0,53,18,5160.38,2011-10-17T14:59:00.000+03:00,14,10,2,0
14262,United Kingdom,0.0,8,8,2354.11,2011-12-01T14:17:00.000+03:00,14,12,5,0
18045,United Kingdom,0.0,45,1,178.34,2011-10-25T13:07:00.000+03:00,13,10,3,0
